éûçè(sec),â¡ë¨ìx(gal)
0,0
0.01,0.003
0.02,0.004
0.03,-0.004
0.04,-0.032
0.05,-0.084
0.06,-0.161
0.07,-0.262
0.08,-0.378
0.09,-0.506
0.1,-0.65
0.11,-0.826
0.12,-1.049
0.13,-1.312
0.14,-1.575
0.15,-1.776
0.16,-1.862
0.17,-1.812
0.18,-1.649
0.19,-1.419
0.2,-1.167
0.21,-0.91
0.22,-0.623
0.23,-0.253
0.24,0.261
0.25,0.943
0.26,1.749
0.27,2.58
0.28,3.325
0.29,3.909
0.3,4.314
0.31,4.586
0.32,4.829
0.33,5.199
0.34,5.853
0.35,6.85
0.36,8.055
0.37,9.136
0.38,9.688
0.39,9.431
0.4,8.35
0.41,6.706
0.42,4.907
0.43,3.321
0.44,2.096
0.45,1.058
0.46,-0.231
0.47,-2.257
0.48,-5.263
0.49,-9.116
0.5,-13.447
0.51,-18
0.52,-22.912
0.53,-28.69
0.54,-35.903
0.55,-44.788
0.56,-54.995
0.57,-65.545
0.58,-74.992
0.59,-81.764
0.6,-84.65
0.61,-83.231
0.62,-78.011
0.63,-70.116
0.64,-60.777
0.65,-50.967
0.66,-41.309
0.67,-32.04
0.68,-22.768
0.69,-12.19
0.7,1.685
0.71,20.486
0.72,44.049
0.73,69.66
0.74,92.741
0.75,108.743
0.76,115.164
0.77,112.535
0.78,103.96
0.79,93.598
0.8,84.843
0.81,78.982
0.82,74.911
0.83,70.125
0.84,62.49
0.85,51.671
0.86,39.123
0.87,26.588
0.88,14.21
0.89,-0.255
0.9,-20.548
0.91,-49.958
0.92,-89.476
0.93,-136.916
0.94,-187.166
0.95,-233.305
0.96,-268.073
0.97,-285.297
0.98,-281.243
0.99,-256.258
1,-216.66
1.01,-171.877
1.02,-142.659
1.03,-138.829
1.04,-156.616
1.05,-177.461
1.06,-177.158
1.07,-141.043
1.08,-74.89
1.09,-3.18
1.1,44.358
1.11,48.707
1.12,10.228
1.13,-53.527
1.14,-117.877
1.15,-163.564
1.16,-186.702
1.17,-201.462
1.18,-232.406
1.19,-298.589
1.2,-398.399
1.21,-506.141
1.22,-584.387
1.23,-604.726
1.24,-563.103
1.25,-480.087
1.26,-387.215
1.27,-309.44
1.28,-254.821
1.29,-216.65
1.3,-184.841
1.31,-157.514
1.32,-143.627
1.33,-154.059
1.34,-188.038
1.35,-227.085
1.36,-243.785
1.37,-220.409
1.38,-162.964
1.39,-99.05
1.4,-60.93
1.41,-66.609
1.42,-111.453
1.43,-173.08
1.44,-223.386
1.45,-240.281
1.46,-214.867
1.47,-152.214
1.48,-65.414
1.49,33.608
1.5,139.39
1.51,249.673
1.52,357.938
1.53,451.679
1.54,520.415
1.55,565.423
1.56,599.695
1.57,636.758
1.58,679.28
1.59,718.396
1.6,743.114
1.61,749.646
1.62,742.66
1.63,729.582
1.64,714.511
1.65,696.307
1.66,670.807
1.67,634.792
1.68,589.443
1.69,541.417
1.7,500.345
1.71,473.393
1.72,459.989
1.73,450.51
1.74,430.629
1.75,389.438
1.76,326.792
1.77,255.013
1.78,192.528
1.79,151.953
1.8,129.925
1.81,106.596
1.82,56.836
1.83,-33.627
1.84,-158.175
1.85,-291.898
1.86,-403.717
1.87,-468.841
1.88,-474.672
1.89,-420.607
1.9,-316.522
1.91,-182.135
1.92,-44.275
1.93,71.185
1.94,149.828
1.95,193.207
1.96,211.983
1.97,212.483
1.98,188.741
1.99,127.94
2,24.907
2.01,-107.155
2.02,-238.855
2.03,-337.396
2.04,-379.744
2.05,-358.402
2.06,-280.131
2.07,-162.453
2.08,-30.224
2.09,89.683
2.1,176.941
2.11,225.836
2.12,246.393
2.13,256.196
2.14,268.226
2.15,283.46
2.16,292.831
2.17,285.631
2.18,257.508
2.19,213.201
2.2,163.617
2.21,119.811
2.22,86.924
2.23,60.887
2.24,29.849
2.25,-19.656
2.26,-94.561
2.27,-189.295
2.28,-284.966
2.29,-354.273
2.3,-370.97
2.31,-321.302
2.32,-212.827
2.33,-74.965
2.34,51.365
2.35,130.652
2.36,146.596
2.37,105.403
2.38,29.458
2.39,-51.703
2.4,-108.18
2.41,-115.42
2.42,-61.871
2.43,43.35
2.44,169.844
2.45,277.042
2.46,332.745
2.47,327.782
2.48,277.523
2.49,210.225
2.5,150.786
2.51,110.069
2.52,84.634
2.53,64.405
2.54,41.718
2.55,15.933
2.56,-8.001
2.57,-24.549
2.58,-32.04
2.59,-33.769
2.6,-35.658
2.61,-42.32
2.62,-53.614
2.63,-62.994
2.64,-58.356
2.65,-25.945
2.66,42.97
2.67,145.052
2.68,261.924
2.69,364.861
2.7,426.085
2.71,430.517
2.72,380.994
2.73,294.664
2.74,194.321
2.75,100.546
2.76,27.708
2.77,-17.033
2.78,-33.643
2.79,-28.432
2.8,-11.695
2.81,6.131
2.82,18.079
2.83,22.1
2.84,20.062
2.85,15.463
2.86,11.08
2.87,7.068
2.88,-0.025
2.89,-16.333
2.9,-47.3
2.91,-93.341
2.92,-147.614
2.93,-198.059
2.94,-232.722
2.95,-244.969
2.96,-235.611
2.97,-211.323
2.98,-180.8
2.99,-150.793
3,-123.765
3.01,-97.878
3.02,-68.562
3.03,-30.176
3.04,22.892
3.05,94.751
3.06,185.296
3.07,287.735
3.08,389.514
3.09,477.785
3.1,546.015
3.11,596.285
3.12,634.966
3.13,665.155
3.14,682.193
3.15,676.205
3.16,640.017
3.17,576.466
3.18,499.159
3.19,425.527
3.2,366.952
3.21,323.208
3.22,284.976
3.23,241.671
3.24,188.01
3.25,124.918
3.26,56.013
3.27,-15.633
3.28,-87.379
3.29,-154.843
3.3,-211.33
3.31,-250.653
3.32,-271.309
3.33,-278.219
3.34,-280.106
3.35,-284.19
3.36,-291.881
3.37,-298.342
3.38,-295.976
3.39,-279.228
3.4,-247.317
3.41,-203.444
3.42,-152.254
3.43,-98.764
3.44,-49.917
3.45,-16.183
3.46,-9.51
3.47,-37.13
3.48,-95.209
3.49,-167.609
3.5,-231.74
3.51,-268.501
3.52,-270.511
3.53,-244.121
3.54,-204.756
3.55,-169.145
3.56,-149.191
3.57,-150.047
3.58,-171.428
3.59,-209.353
3.6,-256.601
3.61,-302.6
3.62,-334.829
3.63,-342.691
3.64,-322.39
3.65,-279.604
3.66,-227.383
3.67,-179.679
3.68,-144.283
3.69,-119.9
3.7,-99.372
3.71,-76.479
3.72,-51.061
3.73,-28.845
3.74,-16.812
3.75,-18.191
3.76,-30.605
3.77,-47.672
3.78,-62
3.79,-67.721
3.8,-62.268
3.81,-47.647
3.82,-30.539
3.83,-20.05
3.84,-23.231
3.85,-40.754
3.86,-65.871
3.87,-87.863
3.88,-97.999
3.89,-94.162
3.9,-81.189
3.91,-66.88
3.92,-56.509
3.93,-49.527
3.94,-40.459
3.95,-22.874
3.96,6.759
3.97,47.777
3.98,96.334
3.99,146.664
4,191.443
4.01,222.462
4.02,233.282
4.03,223.326
4.04,200.214
4.05,177.417
4.06,167.703
4.07,176.356
4.08,198.65
4.09,223.018
4.1,237.396
4.11,234.394
4.12,212.522
4.13,174.033
4.14,122.051
4.15,59.257
4.16,-11.71
4.17,-87.473
4.18,-164.01
4.19,-237.613
4.2,-305.756
4.21,-366.946
4.22,-419.545
4.23,-460.497
4.24,-485.127
4.25,-488.421
4.26,-467.12
4.27,-421.384
4.28,-355.2
4.29,-275.532
4.3,-190.688
4.31,-108.362
4.32,-33.71
4.33,31.848
4.34,90.141
4.35,143.733
4.36,192.555
4.37,232.123
4.38,255.161
4.39,256.005
4.4,234.786
4.41,198.194
4.42,156.106
4.43,116.383
4.44,81.446
4.45,48.685
4.46,13.823
4.47,-25.6
4.48,-68.999
4.49,-113.803
4.5,-156.943
4.51,-195.072
4.52,-223.814
4.53,-237.816
4.54,-232.816
4.55,-208.709
4.56,-171.098
4.57,-129.655
4.58,-94.007
4.59,-69.725
4.6,-56.736
4.61,-50.667
4.62,-45.785
4.63,-37.582
4.64,-23.856
4.65,-4.566
4.66,18.54
4.67,42.055
4.68,61.425
4.69,72.675
4.7,74.88
4.71,71.485
4.72,68.75
4.73,71.84
4.74,81.304
4.75,92.723
4.76,99.826
4.77,98.639
4.78,89.724
4.79,77.464
4.8,67.6
4.81,64.84
4.82,71.446
4.83,86.679
4.84,106.902
4.85,126.513
4.86,139.951
4.87,144.311
4.88,141.218
4.89,136.373
4.9,136.339
4.91,144.143
4.92,156.714
4.93,166.244
4.94,164.762
4.95,148.746
4.96,120.638
4.97,86.661
4.98,52.916
4.99,22.528
5,-4.773
5.01,-31.091
5.02,-58.357
5.03,-87.192
5.04,-116.926
5.05,-146.144
5.06,-172.894
5.07,-194.437
5.08,-207.363
5.09,-208.98
5.1,-199.572
5.11,-183.714
5.12,-168.97
5.13,-162.22
5.14,-165.941
5.15,-176.889
5.16,-187.907
5.17,-191.542
5.18,-183.449
5.19,-164.058
5.2,-138.069
5.21,-112.293
5.22,-92.945
5.23,-83.512
5.24,-83.759
5.25,-89.847
